id,date,total_duration,distance,training_type,heart_rate_zone,notes
90,2021-10-09,PT1M36S,0.79,Hard,Sprint/V02Max
91,2021-10-10,PT1H30M,50,Easy,Recovery 120/130
92,2021-10-11,PT0H,0,Day Off,Day Off,Day Off
93,2021-10-12,PT2H8M,75,Hard,FTP
94,2021-10-13,PT1H15M,45,Easy,Recovery 120/130
95,2021-10-14,PT0H,0,Day Off,Day Off,Day Off
96,2021-10-15,PT1H15M,45,Easy,Recovery 120/130
97,2021-10-16,PT1H30M,50,Easy,Recovery 1z 70%, 2z 30%
98,2021-10-17,PT1H30M,50,Easy,Endurance
99,2021-10-18,PT0H,0,Day Off,Day Off,Day Off
100,2021-10-19,PT40M,30,Easy,Warm up for the race
101,2021-10-20,PT1H13M,41,All out,classic FTP test
102,2021-10-21,PT2H40M,50,Easy,Recovery 120
103,2021-10-22,PT1H45M,50,Easy,Endurance 
